id,photo,web_name,team_code,status,code,first_name,second_name,squad_number,news,now_cost,chance_of_playing_this_round,chance_of_playing_next_round,value_form,value_season,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,in_dreamteam,dreamteam_count,selected_by_percent,form,transfers_out,transfers_in,transfers_out_event,transfers_in_event,loans_in,loans_out,loaned_in,loaned_out,total_points,event_points,points_per_game,ep_this,ep_next,special,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,element_type,team
1,48844.jpg,Ospina,3,a,48844,David,Ospina,13,,49,,,0.0,0.0,-1,0,1,0,,0,0.2,0.0,4547,721,163,43,0,0,0,0,0,0,0.0,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1
2,11334.jpg,Cech,3,a,11334,Petr,Cech,33,,55,,,0.8,4.0,0,0,0,0,,0,5.4,4.5,80261,27197,3138,2122,0,0,0,0,22,0,4.4,5.5,5.5,,450,0,0,2,8,0,0,0,0,0,15,3,101,146.8,0.0,0.0,14.7,0,1,1
3,98980.jpg,Martinez,3,u,98980,"Damian Emiliano",Martinez,26,"Season-long loan to Getafe",40,0,0,0.0,0.0,0,0,0,0,,0,0.8,0.0,16663,581,491,46,0,0,0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1
4,51507.jpg,Koscielny,3,a,51507,Laurent,Koscielny,6,,60,100,100,0.6,2.2,0,0,0,0,,0,1.1,3.3,13889,19477,844,1765,0,0,0,0,13,0,4.3,4.3,4.3,,270,0,0,2,4,0,0,0,0,0,0,1,80,90.0,18.0,21.0,13.0,0,2,1
5,17127.jpg,Mertesacker,3,a,17127,Per,Mertesacker,4,,49,100,100,0.0,0.0,-1,0,1,0,,0,0.4,0.0,14814,3778,459,223,0,0,0,0,0,0,0.0,1.0,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1
6,158074.jpg,Gabriel,3,u,158074,"Gabriel Armando","de Abreu",5,"Joined Valencia on 18/8",50,0,0,0.0,0.0,0,0,0,0,,0,0.0,0.0,1480,272,44,6,0,0,0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1
7,98745.jpg,Bellerín,3,a,98745,Héctor,Bellerín,24,,59,,,0.5,2.4,-1,0,1,0,,0,10.0,2.8,258480,62114,7343,3944,0,0,0,0,14,0,2.8,3.8,3.8,,450,0,0,2,8,0,0,0,1,0,0,0,80,49.4,101.3,71.0,22.2,0,2,1
8,42427.jpg,Gibbs,35,a,42427,Kieran,Gibbs,3,,50,100,100,0.4,1.4,0,0,0,0,,0,0.3,1.8,6941,11780,301,488,0,0,0,0,7,0,3.5,0.8,1.8,,117,0,0,1,1,0,0,0,0,0,0,0,26,13.0,17.2,22.0,5.2,0,2,19
9,80254.jpg,Jenkinson,3,u,80254,Carl,Jenkinson,25,"Season-long loan to Birmingham",45,0,0,0.0,0.0,0,0,0,0,,0,0.2,0.0,10642,660,216,1,0,0,0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1
10,38411.jpg,Monreal,3,a,38411,Nacho,Monreal,18,,54,,,0.7,3.5,-1,0,1,0,,0,3.7,4.0,119987,49821,2898,5052,0,0,0,0,19,0,3.8,5.0,5.0,,450,0,0,2,8,0,0,0,0,0,0,4,124,112.6,33.7,22.0,16.9,0,2,1
